author,date,text,url
No author found,18 fév,No text found,https://www.facebook.com/reel/3598395483793917/?s=single_unit&__cft__[0]=AZVmVkgY5b0LPfa8VGjOlxT6BsGWpSzluDaDoiaz6YXopVu9j8nZECG5Z5fnM16AOyWpldiPcr5swz0NLlNZFqW7ODIRAyk7ssLz5DEFdSvs95VpUCsLeo88CvN6pS0MDsTj4TmJcShnJc6TjgNlMrJACwYRmPv-UcuW8iH7OeGDL6UzsfH5hjhKv3CsfTskHetoMJDWRKPLm4RF7uBHpsT3JN_7Fk566xIeDxEJRPF0Bg&__tn__=H-R
Compte vérifié,15 fév,No text found,https://www.facebook.com/reel/621759557164805/?s=single_unit&__cft__[0]=AZUkixK-g4brZ_yrvQ90k4XKbUOLlOhoj7tLQBuJsHFyhuMHhE7-Bx7G30DWLLPNSFdcpHmJgba1qRZRrNO2Ba2zbfKwy1YZgII6eAxV7lpHf0b9BRd82jY2sjTv0KWxjfTckD8um8uyWn8Kt3uAVMFgpVMbZTr7dbvyOTkkShxNMveAHzqmOMa412ZQ1s-7db6YlTDAVTMOK60N12Jwq4dm&__tn__=H-R
No author found,No date found,No text found,No URL found
,"otsodnpreS71v0hii7g, 0ll413m214 894u60259a1fah9rua6:7la338lh","Il faut en parler c’est quand même relou, toujours la même rengaine. Après on s’étonne des trauma, des violences dans le cadre privé, des violences dans le cadre professionnel (le harcèlement est une violence). Ces hommes devraient être honteux, pour la plupart père de famille et à un âge bien avancé par rapport au mien et à l’âge de mes copines qui ont toutes eues un jour à subir ces cochonneries. #harcelement #prendrelaparole #violencesfaitesauxfemmes #metoo #girlboss",https://www.facebook.com/mamiecobra?__cft__[0]=AZUPGRUBm-_nn1BuMeGKOIkh8qazR8tEv2VKLw9rJbt-n0P2I951RmLuu45ypEIuHmvpYSFvWE5HHRUt8BIHNiru19t1Msu0HV30e-DEUO2OC9rA_mlaGpr_3xxTcmL8dFtdNFfELvrk-JzF8-vmK1Xs6DgIjgcHZDJSAiVuLrWNig&__tn__=%3C%3C%2CP-R
No author found,6 nov,No text found,https://www.facebook.com/reel/608522844830812/?s=single_unit&__cft__[0]=AZUNCBioargujrSuYcll2ExycS2kxH8HyIg7y66wL_YxVGOK_Ze4aXxW17uxrORl7fsarltZoLeXFRBGEkc5fLjebJa15lqYl9KYa_KRFpgancoHy4ey3P9sit461w9TSlh_o2qQEQAwiinq42UeJbFyfV_3xb1McgM9ttLINeMXtrkukDdsCG6mjvHsLmTL6fgVM9F53oFpNRxRh2NglYwJ&__tn__=H-R
No author found,19 mar,No text found,https://www.facebook.com/reel/1157612319191455/?s=single_unit&__cft__[0]=AZXPP5G0jphIvydGkMc4oFUmd60i9FI6WDC0PdcpWHeCvzY-D_1iPJLnpfEYGWkp_ojy21d3MKLSeP_hRyDvsbOCZjPWlqjib3LZbZJCNHR6l7KYRDt885cu0cDbX5x-idJfWemHM0x4wOwBCHC3WF3F1gR95agWXhTw9FrTWHGYm0G_1CDUoLsH2P-BnxgpAamhbMeJaIxMivuVGSVL4Lkj&__tn__=H-R
Compte vérifié,otsodnpreS716rhi 7ga10lj413m214n894u60v53agfah96ua6i7lf3e8lh,"Pour lutter contre les démarchages téléphoniques, un jeune boucher a trouvé la solution. Ryan a lancé une application mobile qui bloque les appels commerciaux. En quelq… En voir plus",https://www.facebook.com/stories/108364804653912/UzpfSVNDOjU0NzAzNjA2ODQ0OTMwNQ==/?view_single=false&__cft__[0]=AZVM9iXeI-i64be0qDsQaOafItDmCkPCd10N5QjQRgiwGbWEhxQojeKl5tIMcvwAqAI0D_oOUB8d5Il1kee9wMKDn8VY7EmCoB6yvF-S5NPHb-ElSA4r68esCoj9cDWvet7xmGyJ6WLQam_T07CwXv_ebpag2uFi-QAOm8_ch_j-YNij1khXkqYJcHbR2VrCyB0c2oKoV-Hwv93FWZEwngdP&__tn__=%3C%3C%2CP-R
No author found,No date found,No text found,No URL found
No author found,No date found,No text found,No URL found
No author found,6 jan,No text found,https://www.facebook.com/reel/1559163788137342/?s=single_unit&__cft__[0]=AZXs3YiLsfeLsCv0IopOj-uzbos3duE96DXESxc4B-oLG8-VT5UhK61__TkNg-7tySiMhx-eZ43T-tg4tO9bFAKJEEKy_r0DNgox41g7eXtTd_exEHbe9KYaOSkvAqP5xV6lW2mgvVnfieyzwYE1oWjfM1Qc-thqFd59HGYK7KC7BD-mvkKaUwlzfhWlN7xfOp66COfmmmR2f5T3ycnANR68&__tn__=H-R
No author found,13 avr,No text found,https://www.facebook.com/reel/966878832269202/?s=single_unit&__cft__[0]=AZXf2AKLLTT0E_TVaazc3zoergBqAgKv6i91Vev94nQmK3e5qOISGGZ08BTGtfI4p7TQ16YII3aVDYK51Btk29kNCuwAF9Qo7Yhi3DHsF3IRHiCDUCYkIA5FKCTE2E_GDK1tbppGIauaVl3UvO5DWNZFZ2fg25REZ-gt1fK5FEpRY2KioYd5JgPz5qd_WGhMglw&__tn__=H-R
No author found,13 fév,No text found,https://www.facebook.com/reel/1842978736533090/?s=single_unit&__cft__[0]=AZU1YRVsstkv1boYTKgPdc4tTgdcizCyUwQ1yNYKZ_kBvDTm0t-XMtchXCcMPHOzDgAK2gVoB1EFzfHC84AnFxNRCaqJTstIW9r5tShbv1KWbHwUxE3euEYfK2oMOsi-HBD2KLW3bqkEc0JpIvcKm0KU_buVU9T5HZliy6f_q-0QScTSlWIP3_8H8e_ht4b-YrxH4hHmEgaL4a-mRwktW0cq3_2HXY-dwL0W6onUjD5oZg&__tn__=H-R
No author found,22 mar,No text found,https://www.facebook.com/reel/2077946159354877/?s=single_unit&__cft__[0]=AZWpqIfegVywJ44a6Wlvx2SmuVfCtBvEgMNrbdC-qJWRO5A0Vg5KF4drJWto5SL_n5_67WFYus7rUqZ_1LH6Ybgy5NV5S4_ropR69fNCiXnYaXZdbaBikcBP0daZDLswZKM294nPtXcpD4wpNg3nvRnY4nmokmEAx7QFQRXZGDcAkJ4wtvz-Vz-s3-tVoWvT-Eht-SMoM6sMLUmX_LX1ZWYj&__tn__=H-R
Compte vérifié,"rSepoodtnslh6i129ala0316,01gr lla517ta4v u63c5a3fgc9h:gf30ia","Après avoir été harcelée pendant des années par 2 ex petits amis, Marina Ferbus s'est donné la mort. Elle avait 21 ans. L'affaire doit être réexaminée fin mai. Une soix… En voir plus",https://www.facebook.com/stories/107160094959322/UzpfSVNDOjY2MDAyMjU4MzMwMDc1NA==/?view_single=false&__cft__[0]=AZUK2FjBZWujnb0qYpkrSSqxAVQMURErzMVY2dVrUkipADafJz_nUOssT86a13UJILNPAq4NV_kwL9aCrN1rv7k-hSoVhsg4PSpFIpdI0G60NxQNQ_p_OraGc43eZjXWIPr90XgNpfVwTtDcsHSG831r3qcn6Niekh6Qm8dCJe55jss65T4SxyvnmIBASVDRXnCQ_ymrrQ2SXgrPWuNv2TAo&__tn__=%3C%3C%2CP-R
No author found,3 avr,No text found,https://www.facebook.com/reel/541214372350430/?s=single_unit&__cft__[0]=AZVhBQRJMnssT_ShrbNdBeC0hLty44S98UbdxBQLKNLh6ajzJWPG3qRYuX-7zi_E2PdkFpsS7yFHYSpPr1kFHTUmIwA3bI8Y0cXdqYzBsyLNgRXbfQgtSAAXYELvOB936VuJAqJrz03KfDYTMl_1K08bnIZndthVxmShfGi9p11wpmOgTXAyEn5qZdq4f-9lD819C8zzer7uOnOgkindtUoj&__tn__=H-R
,"nSedpsotro5f3i g3 72f7uf9lih85c6550a0htv:6rlai7f21,3g95705au",Vous êtes Cadre ou cadre dirigeant et votre entreprise est en réorganisation / restructuration ? Vous êtes en souffrance au travail ou en burn out ? Vous faites l’objet… En voir plus,https://www.facebook.com/cabinetavibitton?__cft__[0]=AZWCstOxmCFWGzuXSiHK_3sJpL10iyG0egmwCrMVqTAvuWsqwpMTnAicl3ZEfmkmQpxVjD72MghraErU4_7vSKvZkAXz7b8Si32G7M0S-RfatHKYBiPB7Q2sgtFqH3rtuWuJmVINO7uTJvBNcxXJoTUXOp1STfzaRuGRLd2_P310n1Ci0xKUPdpARJ0JCCZb8yeHp8kghWfxnxntvWRB4LAb&__tn__=%3C%3C%2CP-R
No author found,25 fév,No text found,https://www.facebook.com/reel/3855462601333619/?s=single_unit&__cft__[0]=AZXDh2G5fjG8tmimlBnEJCovSh2XmlmqVfHtc_hN8kf4kvKPbeQc7zqVaNlHfba1VMcXOO_bk-nHjviYxWSxXrxxet-RngWWAGqIkEosaF-AvzTQ0wwztHe-dh8hGeiFZ7lOxKPJa6EUWWLC-kzMoLeYhw9qDLQoKZMkWIi1GSP2sj-tQgo35tTMMFnwby3kJjk3ZAmPi8O4BRsn1ia4mKrO&__tn__=H-R
No author found,No date found,No text found,No URL found
